job_id,mode,task,slot,gpu,port,successes,episodes,success_rate_pct,status,log
0,demo_clean,adjust_bottle,0,0,6698,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job000_demo_clean_adjust_bottle_slot0.log
1,demo_clean,beat_block_hammer,1,1,6699,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job001_demo_clean_beat_block_hammer_slot1.log
2,demo_clean,blocks_ranking_rgb,2,2,6700,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job002_demo_clean_blocks_ranking_rgb_slot2.log
3,demo_clean,blocks_ranking_size,3,3,6701,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job003_demo_clean_blocks_ranking_size_slot3.log
4,demo_clean,click_alarmclock,4,4,6702,3,3,100.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job004_demo_clean_click_alarmclock_slot4.log
5,demo_clean,click_bell,5,5,6703,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job005_demo_clean_click_bell_slot5.log
6,demo_clean,dump_bin_bigbin,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job006_demo_clean_dump_bin_bigbin_slot6.log
7,demo_clean,grab_roller,7,7,6705,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job007_demo_clean_grab_roller_slot7.log
8,demo_clean,handover_block,4,4,6702,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job008_demo_clean_handover_block_slot4.log
9,demo_clean,handover_mic,5,5,6703,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job009_demo_clean_handover_mic_slot5.log
